quote_id,opportunity_id,cross_service_discount_percent,annual_commit,term_months,total_contract_value,requested_rollover,business_justification,payment_terms,requested_deal_investment,demand_planning_complete,quote_memo_modified,quote_age_hours
Q0011,O0011,0,200000,36,600000,10,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. A deal investment of $10,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 10% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Rollover, which should be reviewed alongside the commercial exception.",Net 30,10000,Yes,Yes,1
Q0021,O0021,10,250000,36,750000,5,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $25,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 5% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 45,25000,No,Yes,2
Q0022,O0022,20,2800000,12,2800000,10,"Customer is requesting a 20% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $420,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 10% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 60,420000,Yes,Yes,3
Q0031,O0031,25,2800000,24,5600000,15,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $140,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 15% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 30,140000,No,Yes,4
Q0032,O0032,25,2750000,36,8250000,20,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $275,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 20% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 45,275000,Yes,Yes,5
Q0041,O0041,0,1550000,36,4650000,10,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. A deal investment of $232,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 10% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Rollover, which should be reviewed alongside the commercial exception.",Net 30,232000,Yes,Yes,6
Q0051,O0051,20,2550000,36,7650000,8,"Customer is requesting a 20% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $255,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 8% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 45,255000,No,Yes,7
Q0061,O0061,10,1500000,36,4500000,12,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $75,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 12% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 60,75000,Yes,Yes,8
Q0071,O0071,25,1350000,12,1350000,0,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $135,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 30,135000,No,Yes,9
Q0072,O0072,0,550000,24,1100000,18,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $82,000 (14.9% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 18% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 45,82000,Yes,Yes,10
Q0081,O0081,15,2100000,24,4200000,6,"Customer is requesting a 15% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $105,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 6% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk.",Net 30,105000,No,No,1
Q0082,O0082,10,2700000,36,8100000,0,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $270,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 45,270000,Yes,Yes,2
Q0091,O0091,0,1100000,12,1100000,14,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $165,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 14% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 60,165000,Yes,Yes,3
Q0101,O0101,10,350000,24,700000,20,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $35,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 20% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Renewal, Rollover, which should be reviewed alongside the commercial exception.",Net 30,35000,No,Yes,4
Q0102,O0102,30,400000,24,800000,0,"Customer is requesting a 30% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $20,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 45,20000,Yes,Yes,5
Q0111,O0111,10,1550000,24,3100000,7,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $155,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 7% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk.",Net 30,155000,No,No,6
Q0112,O0112,5,1850000,36,5550000,11,"Customer is requesting a 5% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $278,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 11% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 45,278000,Yes,Yes,7
Q0121,O0121,30,550000,36,1650000,16,"Customer is requesting a 30% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $28,000 (5.1% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 16% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 60,28000,No,Yes,8
Q0131,O0131,25,1750000,12,1750000,0,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $175,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 30,175000,Yes,Yes,9
Q0141,O0141,10,2800000,36,8400000,9,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $420,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 9% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 45,420000,Yes,Yes,10
Q0151,O0151,20,1950000,24,3900000,13,"Customer is requesting a 20% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $195,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 13% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk.",Net 30,195000,No,No,1
Q0161,O0161,15,2650000,12,2650000,17,"Customer is requesting a 15% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $132,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 17% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 45,132000,Yes,Yes,2
Q0162,O0162,30,2300000,36,6900000,0,"Customer is requesting a 30% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $230,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 60,230000,No,Yes,3
Q0171,O0171,25,1500000,24,3000000,19,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $225,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 19% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 30,225000,Yes,Yes,4
Q0172,O0172,15,1650000,12,1650000,5,"Customer is requesting a 15% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $82,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 5% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 45,82000,No,Yes,5
Q0181,O0181,0,2850000,24,5700000,0,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. A deal investment of $285,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities.",Net 30,285000,Yes,No,6
Q0182,O0182,0,450000,24,900000,10,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $68,000 (15.1% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 10% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Usage / Overages, Rollover, which should be reviewed alongside the commercial exception.",Net 45,68000,Yes,Yes,7
Q0191,O0191,25,2150000,12,2150000,15,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $215,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 15% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 60,215000,No,Yes,8
Q0192,O0192,10,1500000,36,4500000,20,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $75,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 20% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 30,75000,Yes,Yes,9
Q0201,O0201,0,1250000,24,2500000,6,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $125,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 6% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 45,125000,No,Yes,10
Q0211,O0211,15,2650000,24,5300000,10,"Customer is requesting a 15% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $398,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 10% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Rollover, which should be reviewed alongside the commercial exception.",Net 30,398000,Yes,Yes,1
Q0221,O0221,20,2250000,36,6750000,8,"Customer is requesting a 20% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $112,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 8% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 45,112000,No,Yes,2
Q0231,O0231,20,1450000,12,1450000,12,"Customer is requesting a 20% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $145,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 12% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 60,145000,Yes,Yes,3
Q0241,O0241,25,1500000,12,1500000,0,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $225,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 30,225000,Yes,Yes,4
Q0251,O0251,20,2100000,36,6300000,18,"Customer is requesting a 20% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $210,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 18% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 45,210000,No,Yes,5
